Menternship,Company Name,Status,Created At,Updated At,Website URL,Constant Type,Also a Skill Cue? ,Constants → Name,Content Type,Menternship Infos → Content,Experience level,Job Functions → Name
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills,Yes,Data Visualization,Work Techniques,Exploratory Data Analysis (EDA) using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Job Role, ,Business Analyst,Work Techniques,Data Visualisation using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills, ,Data preparation,Work Techniques,Data Visualisation using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Tools, ,Python (Data Science),Work Techniques,Data Visualisation using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills,Yes,Data Analysis,Work Techniques,Data Visualisation using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills,Yes,Data Visualization,Work Techniques,Data Visualisation using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Job Role, ,Business Analyst,Work Techniques,Exploratory Data Analysis (EDA) using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills, ,Data preparation,Work Techniques,Exploratory Data Analysis (EDA) using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Tools, ,Python (Data Science),Work Techniques,Exploratory Data Analysis (EDA) using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills,Yes,Data Analysis,Work Techniques,Exploratory Data Analysis (EDA) using Python,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills,Yes,Data Visualization,Deliverables,Python Notebooks with properly commented code,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Job Role, ,Business Analyst,Deliverables,Research Report on Healthcare Analytics,Intermediate,Business Analytics
Analyse Health and Demographic Data to identify common traits leading to Heart Disease,Practo Technologies Pvt. Ltd.,Active,45440,45440,https://upgradcampusbusinessanalytics.mentormind.in/menternships/analyse-health-and-demographic-data-to-identify-common-traits-leading-to-heart-disease,Skills, ,Data preparation,Deliverables,Research Report on Healthcare Analytics,Intermediate,Business Analytics
